Customer_ID,Pages_Visited,Time_Spent,Previous_Visits,Products_Viewed,Cart_Activity,Cart_Items,Wishlist_Items,Searches_Performed,Product_Detail_Views,Discount_Viewed,Discount_Used,Previous_Purchases,Previous_Total_Spend,Average_Order_Value,Days_Since_Last_Visit,Days_Since_Last_Purchase,Device_Type,Traffic_Source,Session_Count,Purchase
110615,4.0,198.6,2.0,1.0,No,0.0,0.0,1.0,0.0,Yes,No,3.0,243.8,91.08,11.0,87.0,Mobile,Organic Search,3.0,0
105401,11.0,513.0,3.0,11.0,Yes,3.0,3.0,5.0,12.0,No,No,5.0,312.89,63.41,49.0,89.0,Desktop,Paid Search,3.0,1
110888,5.0,299.8,2.0,5.0,No,0.0,1.0,0.0,2.0,No,No,0.0,33.0,0.0,18.0,999.0,Mobile,Referral,2.0,0
100712,6.0,29.9,1.0,0.0,No,0.0,0.0,0.0,0.0,Yes,Yes,0.0,0.0,0.0,34.0,999.0,Desktop,Paid Search,1.0,0
110144,14.0,608.4,9.0,12.0,Yes,4.0,2.0,5.0,6.0,Yes,Yes,7.0,649.34,94.6,13.0,30.0,Mobile,Referral,5.0,1
108897,5.0,10.0,2.0,0.0,Yes,1.0,1.0,0.0,1.0,No,No,2.0,105.59,52.66,66.0,47.0,Desktop,Organic Search,3.0,0
104774,4.0,154.2,3.0,0.0,Yes,2.0,0.0,0.0,2.0,,No,1.0,76.82,90.6,4.0,109.0,Tablet,Organic Search,2.0,0
105393,8.0,423.4,3.0,10.0,No,0.0,3.0,3.0,3.0,Yes,No,7.0,579.41,73.68,14.0,43.0,Mobile,Direct,6.0,1
101597,11.0,546.0,10.0,10.0,Yes,3.0,1.0,2.0,10.0,Yes,No,2.0,205.95,115.04,38.0,17.0,Mobile,Email,3.0,1
109934,15.0,643.1,4.0,13.0,Yes,3.0,2.0,2.0,7.0,Yes,No,3.0,242.95,85.55,37.0,69.0,Mobile,Paid Search,4.0,1
101920,11.0,422.7,3.0,6.0,Yes,4.0,3.0,1.0,8.0,Yes,No,4.0,413.42,105.03,59.0,33.0,Desktop,Organic Search,4.0,1
101667,10.0,603.0,3.0,13.0,Yes,5.0,5.0,2.0,8.0,No,No,5.0,624.92,101.9,50.0,5.0,Mobile,Paid Search,9.0,1
103157,6.0,114.6,3.0,0.0,No,0.0,1.0,3.0,0.0,Yes,No,3.0,202.67,53.29,100.0,69.0,Desktop,Organic Search,1.0,0
106178,14.0,588.1,6.0,8.0,No,0.0,2.0,1.0,5.0,Yes,Yes,0.0,26.51,0.0,30.0,999.0,Mobile,Email,4.0,1
104752,13.0,653.1,3.0,6.0,Yes,6.0,1.0,4.0,10.0,,No,5.0,594.06,123.27,,13.0,Mobile,Direct,6.0,1
103151,9.0,440.7,10.0,15.0,Yes,2.0,3.0,2.0,9.0,Yes,No,3.0,319.83,91.28,1.0,97.0,Mobile,Paid Search,3.0,1
107221,15.0,601.7,1.0,17.0,Yes,5.0,3.0,4.0,8.0,No,No,4.0,331.43,,12.0,43.0,Mobile,Organic Search,6.0,1
108803,4.0,220.9,4.0,1.0,No,0.0,0.0,2.0,3.0,No,No,0.0,0.0,0.0,204.0,999.0,Mobile,Social Media,1.0,0
110854,11.0,575.1,2.0,8.0,Yes,1.0,,3.0,7.0,No,No,4.0,318.16,63.04,14.0,28.0,Mobile,Direct,4.0,1
108215,4.0,178.5,4.0,5.0,No,0.0,1.0,1.0,2.0,Yes,Yes,1.0,70.62,60.73,15.0,148.0,Desktop,Direct,2.0,0
109231,5.0,111.7,,3.0,No,0.0,0.0,0.0,4.0,Yes,No,0.0,0.0,0.0,14.0,999.0,Mobile,Referral,1.0,0
112220,10.0,551.3,1.0,9.0,Yes,3.0,2.0,3.0,7.0,Yes,Yes,5.0,335.48,86.52,8.0,22.0,Mobile,Paid Search,3.0,1
112749,4.0,360.5,0.0,5.0,No,0.0,0.0,2.0,0.0,Yes,No,4.0,371.23,94.3,24.0,34.0,Mobile,Organic Search,1.0,0
104674,12.0,416.5,3.0,13.0,Yes,5.0,1.0,5.0,9.0,Yes,Yes,2.0,179.37,60.21,56.0,111.0,Desktop,Direct,6.0,1
112341,4.0,169.4,3.0,5.0,No,,1.0,2.0,1.0,Yes,No,1.0,72.35,87.41,33.0,103.0,Desktop,Organic Search,1.0,0
109839,3.0,103.5,3.0,5.0,No,0.0,0.0,0.0,0.0,Yes,No,1.0,66.69,73.07,62.0,85.0,Mobile,Organic Search,3.0,0
106641,10.0,518.9,7.0,10.0,Yes,4.0,0.0,4.0,10.0,No,,0.0,0.0,0.0,30.0,999.0,Mobile,Email,4.0,1
107058,8.0,605.9,3.0,9.0,Yes,6.0,,2.0,,Yes,No,7.0,660.73,107.0,50.0,111.0,Desktop,Organic Search,5.0,1
112939,8.0,545.4,6.0,12.0,Yes,3.0,1.0,4.0,5.0,Yes,No,0.0,0.0,0.0,15.0,999.0,Mobile,Direct,4.0,1
109324,10.0,425.2,6.0,10.0,Yes,3.0,2.0,3.0,6.0,Yes,No,4.0,293.61,75.83,11.0,13.0,Mobile,Social Media,4.0,1
104826,7.0,244.8,5.0,2.0,No,0.0,0.0,1.0,,No,No,0.0,11.25,0.0,2.0,999.0,Mobile,Email,1.0,0
111236,15.0,614.5,5.0,7.0,Yes,3.0,2.0,2.0,6.0,Yes,No,1.0,44.61,32.8,6.0,100.0,Desktop,Email,6.0,1
101213,8.0,466.7,8.0,10.0,Yes,1.0,1.0,3.0,7.0,Yes,No,3.0,254.77,86.12,19.0,47.0,Desktop,Direct,4.0,1
111825,6.0,54.8,,1.0,No,0.0,0.0,2.0,0.0,No,No,0.0,14.25,0.0,54.0,999.0,Desktop,Organic Search,1.0,0
104505,9.0,508.2,5.0,12.0,Yes,1.0,3.0,5.0,7.0,Yes,No,8.0,616.97,89.7,54.0,28.0,Tablet,Organic Search,5.0,1
107128,4.0,234.9,4.0,0.0,No,0.0,0.0,2.0,0.0,Yes,No,4.0,304.4,82.97,15.0,,Tablet,Referral,2.0,0
106998,14.0,810.6,7.0,12.0,Yes,5.0,4.0,4.0,7.0,No,No,6.0,354.73,60.81,65.0,73.0,Mobile,Social Media,6.0,1
102282,15.0,576.4,2.0,,No,0.0,3.0,3.0,13.0,No,No,9.0,1035.12,93.89,25.0,12.0,Mobile,Organic Search,5.0,1
108389,4.0,117.7,0.0,0.0,No,0.0,1.0,1.0,0.0,Yes,Yes,2.0,129.13,70.12,27.0,300.0,Mobile,Social Media,4.0,0
107076,6.0,263.1,3.0,5.0,No,0.0,0.0,0.0,2.0,No,No,3.0,184.62,81.26,48.0,111.0,Desktop,Organic Search,4.0,0
109641,10.0,429.6,4.0,5.0,Yes,2.0,1.0,3.0,10.0,Yes,Yes,3.0,248.63,76.93,38.0,23.0,Mobile,Organic Search,6.0,1
107503,7.0,445.8,7.0,10.0,No,0.0,3.0,4.0,8.0,No,No,3.0,254.52,93.36,32.0,147.0,Desktop,Email,6.0,1
103571,2.0,244.2,0.0,1.0,Yes,1.0,0.0,1.0,0.0,No,No,1.0,87.16,89.42,91.0,92.0,Desktop,Organic Search,3.0,0
110720,12.0,516.2,3.0,8.0,No,0.0,4.0,2.0,5.0,Yes,No,3.0,348.91,134.75,56.0,70.0,Mobile,Organic Search,4.0,1
109241,10.0,496.6,7.0,11.0,Yes,5.0,2.0,4.0,5.0,Yes,Yes,5.0,511.69,125.87,23.0,41.0,Desktop,Email,6.0,1
106600,14.0,567.0,5.0,9.0,Yes,3.0,3.0,4.0,9.0,No,No,5.0,457.95,91.59,75.0,34.0,Desktop,Paid Search,6.0,1
100365,14.0,515.7,6.0,11.0,No,0.0,1.0,3.0,6.0,Yes,No,2.0,243.81,113.19,16.0,32.0,Desktop,Organic Search,5.0,1
100227,,,0.0,2.0,No,0.0,0.0,0.0,0.0,Yes,Yes,2.0,109.09,52.33,62.0,193.0,Desktop,Paid Search,1.0,0
107905,3.0,169.6,4.0,2.0,Yes,1.0,0.0,1.0,3.0,No,No,1.0,51.2,55.76,62.0,59.0,Tablet,Organic Search,2.0,0
104588,12.0,507.0,1.0,9.0,No,0.0,2.0,2.0,9.0,Yes,Yes,1.0,28.2,40.11,3.0,52.0,Mobile,Paid Search,3.0,1
108397,11.0,433.6,8.0,7.0,Yes,2.0,1.0,1.0,10.0,No,No,4.0,302.05,66.08,11.0,51.0,Mobile,Paid Search,4.0,1
109936,17.0,650.9,6.0,7.0,Yes,4.0,3.0,3.0,8.0,No,No,2.0,195.69,93.49,60.0,30.0,Mobile,Email,2.0,1
107826,12.0,449.7,5.0,11.0,Yes,2.0,2.0,2.0,10.0,Yes,Yes,6.0,684.88,103.4,29.0,43.0,Mobile,Organic Search,4.0,1
107146,8.0,,5.0,13.0,Yes,1.0,2.0,1.0,14.0,Yes,No,5.0,351.88,61.57,6.0,41.0,Mobile,Paid Search,4.0,1
103461,1.0,10.0,0.0,0.0,No,0.0,0.0,0.0,0.0,No,No,1.0,21.64,45.39,83.0,12.0,Desktop,Direct,1.0,0
103055,11.0,492.6,6.0,9.0,No,0.0,1.0,0.0,7.0,Yes,No,6.0,565.87,110.62,10.0,35.0,Mobile,Direct,5.0,1
100530,11.0,536.2,2.0,9.0,Yes,6.0,1.0,3.0,8.0,No,No,4.0,418.67,118.13,9.0,50.0,Mobile,Direct,4.0,1
109476,2.0,90.7,2.0,5.0,No,0.0,0.0,1.0,0.0,No,No,1.0,78.04,83.8,70.0,177.0,Mobile,Social Media,1.0,0
109225,13.0,549.1,8.0,6.0,Yes,4.0,3.0,7.0,,No,No,5.0,641.0,130.85,30.0,103.0,Desktop,Organic Search,2.0,1
105538,1.0,61.5,2.0,6.0,Yes,1.0,1.0,0.0,6.0,Yes,Yes,2.0,138.38,61.4,97.0,14.0,Mobile,Email,3.0,0
105014,10.0,385.4,4.0,12.0,Yes,3.0,1.0,3.0,5.0,No,No,2.0,245.76,130.14,44.0,57.0,Desktop,Referral,3.0,1
102402,8.0,508.8,1.0,4.0,Yes,6.0,3.0,5.0,10.0,Yes,No,3.0,327.18,108.09,28.0,228.0,Mobile,Referral,3.0,1
108595,5.0,201.7,2.0,6.0,No,0.0,0.0,4.0,0.0,No,No,0.0,0.0,0.0,9.0,999.0,Mobile,Referral,3.0,0
108511,6.0,366.5,4.0,13.0,Yes,2.0,,,7.0,Yes,No,7.0,514.09,71.8,27.0,119.0,Desktop,Direct,3.0,1
112297,5.0,171.2,2.0,1.0,No,0.0,2.0,1.0,1.0,No,No,0.0,28.87,0.0,13.0,999.0,Mobile,Referral,1.0,0
100688,2.0,33.6,1.0,0.0,No,0.0,0.0,0.0,2.0,No,No,3.0,59.6,10.01,34.0,77.0,Desktop,Paid Search,4.0,0
103148,2.0,397.2,1.0,3.0,No,0.0,0.0,0.0,4.0,Yes,No,2.0,108.18,46.45,28.0,136.0,Mobile,Email,2.0,0
107941,14.0,504.2,5.0,4.0,No,0.0,1.0,2.0,10.0,Yes,Yes,3.0,297.29,98.87,77.0,64.0,Mobile,Organic Search,5.0,1
111131,14.0,574.7,7.0,12.0,No,0.0,3.0,4.0,6.0,Yes,Yes,3.0,310.8,111.89,14.0,86.0,Mobile,Organic Search,4.0,1
111201,6.0,90.4,,2.0,Yes,1.0,0.0,0.0,5.0,No,No,1.0,37.59,41.34,101.0,22.0,Mobile,Referral,1.0,0
105163,3.0,228.6,3.0,5.0,Yes,2.0,0.0,1.0,0.0,No,No,1.0,81.54,86.66,22.0,63.0,Desktop,Paid Search,4.0,0
104466,13.0,557.0,10.0,16.0,Yes,4.0,3.0,4.0,12.0,No,No,5.0,296.78,52.07,31.0,97.0,Desktop,Direct,6.0,1
108142,10.0,,7.0,10.0,No,0.0,,4.0,10.0,No,No,5.0,393.53,62.32,17.0,47.0,Desktop,Organic Search,1.0,1
106049,9.0,347.4,4.0,5.0,Yes,2.0,2.0,3.0,7.0,No,No,3.0,271.14,82.89,16.0,58.0,Desktop,Email,2.0,1
101091,8.0,490.9,7.0,7.0,No,0.0,2.0,2.0,8.0,Yes,Yes,6.0,501.56,91.66,5.0,34.0,Mobile,Direct,7.0,1
